въпрос,а,б,в,г,верен отговор
Каква е основната функция на бъбреците?,Производство на хормони.,Разграждане на хранителни вещества.,"Образуване на урина, която представлява воден разтвор на непотребни вещества.",Регулиране на кръвната захар.,"Образуване на урина, която представлява воден разтвор на непотребни вещества."
Каква е формата на бъбреците?,Кръгла.,Триъгълна.,Бобовидна.,Квадратна.,Бобовидна.
Какви са размерите на бъбреците?,"Дължина 8 см, ширина 4 см.","Дължина 10 см, ширина 5 см.","Дължина 12 см, ширина 6 см.","Дължина 14 см, ширина 7 см.","Дължина 12 см, ширина 6 см."
Какво е общото тегло на бъбреците?,100 г.,200 г.,300 г.,400 г.,300 г.
Къде са разположени бъбреците?,В предната част на корема.,Върху задната коремна стена на равнището на 12 гръден и 1 и 2 поясен прешлен.,В горната част на черния дроб.,В долната част на стомаха.,Върху задната коремна стена на равнището на 12 гръден и 1 и 2 поясен прешлен.
С какво са обвити бъбреците и защо?,С мускулна капсула за движение.,Със съединителна тъкан за захващане.,С мастна капсула за прикрепване и защита от удари и сътресения.,С костна обвивка за защита.,С мастна капсула за прикрепване и защита от удари и сътресения.
Как са кръвоснабдени бъбреците?,Бедно кръвоснабдени.,Слабо кръвоснабдени.,Богато кръвоснабдени.,Изобщо не са кръвоснабдени.,Богато кръвоснабдени.
Какво навлиза в бъбреците през вдълбнатина по средата?,Бъбречната артерия.,Бъбречната вена.,Пикочопроводът.,Пикочният мехур.,Бъбречната артерия.
Какво излиза от бъбреците през вдълбнатина по средата?,Бъбречната артерия.,Бъбречната вена.,Пикочопроводът.,Пикочният мехур.,Бъбречната вена.
 Колко слоя има бъбрекът при разрез по дължина?,Един слой.,Два слоя.,Три слоя.,Четири слоя.,Два слоя.
 Как се наричат двата слоя на бъбрека?,Кора и кожа.,Кожа и сърцевина.,Кора и сърцевина.,Кожа и кора.,Кора и сърцевина.
 Каква е дебелината на кората на бъбрека?,1-2 мм.,2-3 мм.,4-5 мм.,5-6 мм.,4-5 мм.
 Какво има във вътрешния слой на бъбрека?,Бъбречни лобове.,Бъбречни пирамиди.,Бъбречни канали.,Бъбречни капсули.,Бъбречни пирамиди.
 Как са разположени бъбречните пирамиди?,Обърнати с основата си към кората и с върховете си към бъбречното легенче.,Обърнати с основата си към бъбречното легенче и с върховете си към кората.,Обърнати с основата си към пикочопровода.,Обърнати с основата си към пикочния мехур.,Обърнати с основата си към кората и с върховете си към бъбречното легенче.
 Какво прави бъбречното легенче?,Разгражда хранителни вещества.,Пречиства кръвта.,Събира и отвежда урината към пикочопроводите.,Съхранява хормони.,Събира и отвежда урината към пикочопроводите.
 Каква е основната структурна и функционална единица на бъбрека?,Нефрон.,Пирамиди.,Капсули.,Артериоли.,Нефрон.
 Колко нефрони има в бъбреците?,Около 1 милион.,Около 2 милиона.,Около 3 милиона.,Около 4 милиона.,Около 2 милиона.
 От какво е изграден нефронът?,Само от капилярно клъбце.,Само от каналчета.,"От капилярно клъбце, обвиваща го капсула и извито каналче.",От капсула и съдове.,"От капилярно клъбце, обвиваща го капсула и извито каналче."
 С какво е свързано капилярното клъбце?,Само с входяща артериола.,Само с изходяща артериола.,С входяща и изходяща артериола.,С кръвни капиляри.,С входяща и изходяща артериола.
 Защо входящата артериола е по-широка от изходящата?,Защото кръвното налягане в капилярното клъбце е високо.,Защото кръвното налягане в капилярното клъбце е ниско.,За да се увеличи обемът на урината.,За да се намали обемът на урината.,Защото кръвното налягане в капилярното клъбце е високо.
 Къде се извършва филтрацията на кръвната плазма?,В капилярното клъбце и вътрешната стена на капсулата.,В капилярите на пикочопровода.,В стената на пикочния мехур.,В артериолите.,В капилярното клъбце и вътрешната стена на капсулата.
 Какви вещества могат да преминат през филтъра при филтрация?,Само белтъци.,Вода и вещества с малка молекулна маса.,Само глюкоза.,Само аминокиселини.,Вода и вещества с малка молекулна маса.
 Какво съдържа първичната урина?,Само вода.,"Вода, минерални соли, аминокиселини, глюкоза, урея.",Само минерални соли.,Само аминокиселини и глюкоза.,"Вода, минерални соли, аминокиселини, глюкоза, урея."
 Защо няма белтъци в първичната урина?,Защото белтъците не се произвеждат в бъбреците.,Защото белтъците имат голяма молекулна маса и не могат да преминат през филтъра.,Защото белтъците се разграждат в пикочния мехур.,Защото белтъците се абсорбират в пикочопроводите.,Защото белтъците имат голяма молекулна маса и не могат да преминат през филтъра.
 Как се връщат полезните вещества в кръвта?,Чрез дифузия в пикочния мехур.,Чрез обратно всмукване през стената на извитото каналче.,Чрез активен транспорт в артериолите.,Чрез филтрация в пикочопроводите.,Чрез обратно всмукване през стената на извитото каналче.
 Къде се образува вторичната урина?,В кухината на пикочния мехур.,В артериолите.,В кухината на извитото каналче.,В стената на пикочопроводите.,В кухината на извитото каналче.
 Какво съдържа вторичната урина?,Само вода.,"Вода, соли, урея, пикочна киселина.",Само аминокиселини и глюкоза.,Само минерални соли.,"Вода, соли, урея, пикочна киселина."
 Какво се образува чрез секрецията в бъбреците?,Първична урина.,Вторична урина.,Крайна урина.,Белтъци.,Крайна урина.
 Колко крайна урина се образува за денонщие?,"0,5 литра.",1 литър.,"1,5 литра.",2 литра.,"1,5 литра."
" Къде се влива урината, образувана от всички нефрони на бъбрека?",В пикочопроводите.,В пикочния мехур.,В бъбречното легенче.,В артериолите.,В бъбречното легенче.
 Каква е основната функция на пикочопроводите?,Да разграждат белтъци.,Да транспортират урината от бъбречното легенче до пикочния мехур.,Да регулират кръвното налягане.,Да съхраняват урина.,Да транспортират урината от бъбречното легенче до пикочния мехур.
 Какъв е размерът на пикочопроводите?,"Дължина 20 см, ширина 6 мм.","Дължина 25 см, ширина 7 мм.","Дължина 30 см, ширина 8 мм.","Дължина 35 см, ширина 9 мм.","Дължина 30 см, ширина 8 мм."
 Какво съдържа стената на пикочопроводите?,Костна тъкан.,Мускулна тъкан.,Съединителна тъкан.,Епителна тъкан.,Мускулна тъкан.
 Какво представлява пикочният мехур?,Кух мускулест орган с резервоарна функция.,Солиден мускулест орган.,Еластична мембрана.,Костна структура.,Кух мускулест орган с резервоарна функция.
